Total Awards,Award Type,Year,Institution,Campus,County,2 Digit CIP,6 Digit CIP,4 Digit CIP,State,Program Family,Program Category,Program
4,Certificate,2019-20,Elizabethton,Main Campus,"Carter County, TN",47,47.0605,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Diesel Mechanics Technology/Technician
4,Certificate,2019-20,Elizabethton,Main Campus,"Carter County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
9,Diploma,2021-22,Elizabethton,Main Campus,"Carter County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
10,Diploma,2021-22,Elizabethton,Main Campus,"Carter County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
11,Diploma,2021-22,Elizabethton,Main Campus,"Carter County, TN",47,47.0201,47.02,Tennessee,Mechanic and Repair Technologies/Technicians,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician"
6,Diploma,2021-22,Elizabethton,Main Campus,"Carter County, TN",15,15.0613,15.06,Tennessee,Engineering/Engineering-Related Technologies/Technicians,Industrial Production Technologies/Technicians,Manufacturing Engineering Technology/Technician
17,Diploma,2021-22,Elizabethton,Main Campus,"Carter County, TN",46,46.0503,46.05,Tennessee,Construction Trades,Plumbing and Related Water Supply Services,Plumbing Technology/Plumber
8,Diploma,2021-22,Elizabethton,Main Campus,"Carter County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
15,Diploma,2021-22,Elizabethton,Main Campus,"Carter County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
6,Diploma,2021-22,Elizabethton,Main Campus,"Carter County, TN",47,47.0605,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Diesel Mechanics Technology/Technician
10,Diploma,2021-22,Elizabethton,Main Campus,"Carter County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
21,Diploma,2021-22,Elizabethton,Main Campus,"Carter County, TN",46,46.0302,46.03,Tennessee,Construction Trades,Electrical and Power Transmission Installers,Electrician
12,Diploma,2019-20,Elizabethton,Main Campus,"Carter County, TN",46,46.0302,46.03,Tennessee,Construction Trades,Electrical and Power Transmission Installers,Electrician
7,Diploma,2019-20,Elizabethton,Main Campus,"Carter County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
15,Diploma,2019-20,Elizabethton,Main Campus,"Carter County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
6,Diploma,2019-20,Elizabethton,Main Campus,"Carter County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
22,Diploma,2019-20,Elizabethton,Main Campus,"Carter County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
12,Diploma,2019-20,Elizabethton,Main Campus,"Carter County, TN",46,46.0503,46.05,Tennessee,Construction Trades,Plumbing and Related Water Supply Services,Plumbing Technology/Plumber
17,Diploma,2019-20,Elizabethton,Main Campus,"Carter County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
8,Diploma,2019-20,Elizabethton,Main Campus,"Carter County, TN",47,47.0201,47.02,Tennessee,Mechanic and Repair Technologies/Technicians,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician"
9,Diploma,2019-20,Elizabethton,Main Campus,"Carter County, TN",47,47.0605,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Diesel Mechanics Technology/Technician
3,Certificate,2021-22,Harriman,Loudon County Technology Center,"Loudon County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
2,Certificate,2021-22,Harriman,Loudon County Technology Center,"Loudon County, TN",47,47.0605,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Diesel Mechanics Technology/Technician
2,Certificate,2019-20,Harriman,Loudon County Technology Center,"Loudon County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
4,Diploma,2021-22,Harriman,Loudon County Technology Center,"Loudon County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
6,Diploma,2021-22,Harriman,Loudon County Technology Center,"Loudon County, TN",47,47.0605,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Diesel Mechanics Technology/Technician
3,Diploma,2019-20,Harriman,Loudon County Technology Center,"Loudon County, TN",47,47.0605,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Diesel Mechanics Technology/Technician
1,Diploma,2019-20,Harriman,Loudon County Technology Center,"Loudon County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
3,Certificate,2021-22,Harriman,Main Campus,"Roane County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
1,Certificate,2021-22,Harriman,Main Campus,"Roane County, TN",51,51.0801,51.08,Tennessee,Health Professions and Related Programs,Allied Health and Medical Assisting Services,Medical/Clinical Assistant
1,Certificate,2021-22,Harriman,Main Campus,"Roane County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
2,Certificate,2021-22,Harriman,Main Campus,"Roane County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
1,Certificate,2021-22,Harriman,Main Campus,"Roane County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
2,Certificate,2021-22,Harriman,Main Campus,"Roane County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
2,Certificate,2021-22,Harriman,Main Campus,"Roane County, TN",47,47.0605,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Diesel Mechanics Technology/Technician
1,Certificate,2019-20,Harriman,Main Campus,"Roane County, TN",12,12.0401,12.04,Tennessee,"Culinary, Entertainment, and Personal Services",Cosmetology and Related Personal Grooming Services,"Cosmetology/Cosmetologist, General"
1,Certificate,2019-20,Harriman,Main Campus,"Roane County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
3,Certificate,2019-20,Harriman,Main Campus,"Roane County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
2,Certificate,2019-20,Harriman,Main Campus,"Roane County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
1,Certificate,2019-20,Harriman,Main Campus,"Roane County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
8,Diploma,2021-22,Harriman,Main Campus,"Roane County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
7,Diploma,2021-22,Harriman,Main Campus,"Roane County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
5,Diploma,2021-22,Harriman,Main Campus,"Roane County, TN",51,51.0801,51.08,Tennessee,Health Professions and Related Programs,Allied Health and Medical Assisting Services,Medical/Clinical Assistant
14,Diploma,2021-22,Harriman,Main Campus,"Roane County, TN",12,12.0401,12.04,Tennessee,"Culinary, Entertainment, and Personal Services",Cosmetology and Related Personal Grooming Services,"Cosmetology/Cosmetologist, General"
5,Diploma,2021-22,Harriman,Main Campus,"Roane County, TN",47,47.0605,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Diesel Mechanics Technology/Technician
7,Diploma,2021-22,Harriman,Main Campus,"Roane County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
2,Diploma,2021-22,Harriman,Main Campus,"Roane County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
6,Diploma,2021-22,Harriman,Main Campus,"Roane County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
11,Diploma,2019-20,Harriman,Main Campus,"Roane County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
8,Diploma,2019-20,Harriman,Main Campus,"Roane County, TN",47,47.0605,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Diesel Mechanics Technology/Technician
9,Diploma,2019-20,Harriman,Main Campus,"Roane County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
8,Diploma,2019-20,Harriman,Main Campus,"Roane County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
11,Diploma,2019-20,Harriman,Main Campus,"Roane County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
4,Diploma,2019-20,Harriman,Main Campus,"Roane County, TN",51,51.0801,51.08,Tennessee,Health Professions and Related Programs,Allied Health and Medical Assisting Services,Medical/Clinical Assistant
1,Certificate,2021-22,Harriman,ThreeStar Extension Campus,"Roane County, TN",46,46.0415,46.04,Tennessee,Construction Trades,"Building/Construction Finishing, Management, and Inspection",Building Construction Technology/Technician
6,Diploma,2021-22,Harriman,ThreeStar Extension Campus,"Roane County, TN",46,46.0415,46.04,Tennessee,Construction Trades,"Building/Construction Finishing, Management, and Inspection",Building Construction Technology/Technician
7,Certificate,2021-22,Hartsville,Macon County High School,"Macon County, TN",51,51.0801,51.08,Tennessee,Health Professions and Related Programs,Allied Health and Medical Assisting Services,Medical/Clinical Assistant
5,Certificate,2021-22,Hartsville,Main Campus,"Trousdale County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
3,Certificate,2021-22,Hartsville,Main Campus,"Trousdale County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
10,Certificate,2021-22,Hartsville,Main Campus,"Trousdale County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
3,Certificate,2021-22,Hartsville,Main Campus,"Trousdale County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
1,Certificate,2021-22,Hartsville,Main Campus,"Trousdale County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
1,Certificate,2019-20,Hartsville,Main Campus,"Trousdale County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
12,Certificate,2019-20,Hartsville,Main Campus,"Trousdale County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
3,Certificate,2019-20,Hartsville,Main Campus,"Trousdale County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
2,Certificate,2019-20,Hartsville,Main Campus,"Trousdale County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
4,Certificate,2019-20,Hartsville,Main Campus,"Trousdale County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
13,Diploma,2021-22,Hartsville,Main Campus,"Trousdale County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
7,Diploma,2021-22,Hartsville,Main Campus,"Trousdale County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
10,Diploma,2021-22,Hartsville,Main Campus,"Trousdale County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
17,Diploma,2021-22,Hartsville,Main Campus,"Trousdale County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
8,Diploma,2021-22,Hartsville,Main Campus,"Trousdale County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
3,Diploma,2019-20,Hartsville,Main Campus,"Trousdale County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
14,Diploma,2019-20,Hartsville,Main Campus,"Trousdale County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
8,Diploma,2019-20,Hartsville,Main Campus,"Trousdale County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
3,Diploma,2019-20,Hartsville,Main Campus,"Trousdale County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
11,Diploma,2019-20,Hartsville,Main Campus,"Trousdale County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
4,Certificate,2021-22,Hartsville,Tri-County Career and Technical Education Center,"Macon County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
10,Certificate,2021-22,Hartsville,Trousdale County High School,"Trousdale County, TN",51,51.0801,51.08,Tennessee,Health Professions and Related Programs,Allied Health and Medical Assisting Services,Medical/Clinical Assistant
1,Certificate,2019-20,Hartsville,Trousdale County High School,"Trousdale County, TN",51,51.0801,51.08,Tennessee,Health Professions and Related Programs,Allied Health and Medical Assisting Services,Medical/Clinical Assistant
1,Certificate,2019-20,Hartsville,Trousdale County High School,"Trousdale County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
1,Certificate,2021-22,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
2,Certificate,2021-22,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",15,15.0613,15.06,Tennessee,Engineering/Engineering-Related Technologies/Technicians,Industrial Production Technologies/Technicians,Manufacturing Engineering Technology/Technician
1,Certificate,2021-22,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",47,47.0201,47.02,Tennessee,Mechanic and Repair Technologies/Technicians,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician"
2,Certificate,2021-22,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
4,Certificate,2019-20,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
1,Certificate,2019-20,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",15,15.0613,15.06,Tennessee,Engineering/Engineering-Related Technologies/Technicians,Industrial Production Technologies/Technicians,Manufacturing Engineering Technology/Technician
1,Certificate,2019-20,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
2,Diploma,2021-22,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",47,47.0201,47.02,Tennessee,Mechanic and Repair Technologies/Technicians,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician"
9,Diploma,2021-22,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
10,Diploma,2021-22,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
3,Diploma,2021-22,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",15,15.0613,15.06,Tennessee,Engineering/Engineering-Related Technologies/Technicians,Industrial Production Technologies/Technicians,Manufacturing Engineering Technology/Technician
3,Diploma,2021-22,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",51,51.0801,51.08,Tennessee,Health Professions and Related Programs,Allied Health and Medical Assisting Services,Medical/Clinical Assistant
7,Diploma,2019-20,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
3,Diploma,2019-20,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",15,15.0613,15.06,Tennessee,Engineering/Engineering-Related Technologies/Technicians,Industrial Production Technologies/Technicians,Manufacturing Engineering Technology/Technician
5,Diploma,2019-20,Hartsville,Wilson County Career and Technical Education Center,"Wilson County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
1,Certificate,2019-20,Hohenwald,Columbia Central High School Instructional Service,"Maury County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
1,Diploma,2021-22,Hohenwald,Columbia Central High School Instructional Service,"Maury County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
3,Diploma,2021-22,Hohenwald,Columbia Central High School Instructional Service,"Maury County, TN",46,46.0415,46.04,Tennessee,Construction Trades,"Building/Construction Finishing, Management, and Inspection",Building Construction Technology/Technician
4,Diploma,2019-20,Hohenwald,Columbia Central High School Instructional Service,"Maury County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
2,Certificate,2019-20,Hohenwald,Lawrence County Instructional Service Center,"Lawrence County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
3,Diploma,2021-22,Hohenwald,Lawrence County Instructional Service Center,"Lawrence County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
4,Diploma,2019-20,Hohenwald,Lawrence County Instructional Service Center,"Lawrence County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
2,Certificate,2021-22,Hohenwald,Main Campus,"Lewis County, TN",12,12.041,12.04,Tennessee,"Culinary, Entertainment, and Personal Services",Cosmetology and Related Personal Grooming Services,
3,Certificate,2021-22,Hohenwald,Main Campus,"Lewis County, TN",12,12.0401,12.04,Tennessee,"Culinary, Entertainment, and Personal Services",Cosmetology and Related Personal Grooming Services,"Cosmetology/Cosmetologist, General"
2,Certificate,2021-22,Hohenwald,Main Campus,"Lewis County, TN",50,50.0402,50.04,Tennessee,Visual and Performing Arts,Design and Applied Arts,Commercial and Advertising Art
4,Certificate,2021-22,Hohenwald,Main Campus,"Lewis County, TN",47,47.0105,47.01,Tennessee,Mechanic and Repair Technologies/Technicians,Electrical/Electronics Maintenance and Repair Technologies/Technicians,Industrial Electronics Technology/Technician
5,Certificate,2021-22,Hohenwald,Main Campus,"Lewis County, TN",12,12.0409,12.04,Tennessee,"Culinary, Entertainment, and Personal Services",Cosmetology and Related Personal Grooming Services,Aesthetician/Esthetician and Skin Care Specialist
1,Certificate,2021-22,Hohenwald,Main Campus,"Lewis County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
4,Certificate,2019-20,Hohenwald,Main Campus,"Lewis County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
16,Certificate,2019-20,Hohenwald,Main Campus,"Lewis County, TN",12,12.0409,12.04,Tennessee,"Culinary, Entertainment, and Personal Services",Cosmetology and Related Personal Grooming Services,Aesthetician/Esthetician and Skin Care Specialist
1,Certificate,2019-20,Hohenwald,Main Campus,"Lewis County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
1,Certificate,2019-20,Hohenwald,Main Campus,"Lewis County, TN",51,51.0801,51.08,Tennessee,Health Professions and Related Programs,Allied Health and Medical Assisting Services,Medical/Clinical Assistant
1,Certificate,2019-20,Hohenwald,Main Campus,"Lewis County, TN",12,12.041,12.04,Tennessee,"Culinary, Entertainment, and Personal Services",Cosmetology and Related Personal Grooming Services,
5,Certificate,2019-20,Hohenwald,Main Campus,"Lewis County, TN",50,50.0402,50.04,Tennessee,Visual and Performing Arts,Design and Applied Arts,Commercial and Advertising Art
2,Certificate,2019-20,Hohenwald,Main Campus,"Lewis County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
3,Certificate,2019-20,Hohenwald,Main Campus,"Lewis County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
10,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
5,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
6,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",12,12.0401,12.04,Tennessee,"Culinary, Entertainment, and Personal Services",Cosmetology and Related Personal Grooming Services,"Cosmetology/Cosmetologist, General"
2,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",50,50.0402,50.04,Tennessee,Visual and Performing Arts,Design and Applied Arts,Commercial and Advertising Art
2,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
1,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",15,15.0305,15.03,Tennessee,Engineering/Engineering-Related Technologies/Technicians,Electrical/Electronic Engineering Technologies/Technicians,Telecommunications Technology/Technician
4,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
6,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",48,48.0501,48.05,Tennessee,Precision Production,Precision Metal Working,Machine Tool Technology/Machinist
1,Diploma,2021-22,Hohenwald,Main Campus,"Lewis County, TN",51,51.0801,51.08,Tennessee,Health Professions and Related Programs,Allied Health and Medical Assisting Services,Medical/Clinical Assistant
7,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
8,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",51,51.0801,51.08,Tennessee,Health Professions and Related Programs,Allied Health and Medical Assisting Services,Medical/Clinical Assistant
1,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",47,47.0105,47.01,Tennessee,Mechanic and Repair Technologies/Technicians,Electrical/Electronics Maintenance and Repair Technologies/Technicians,Industrial Electronics Technology/Technician
16,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",12,12.0401,12.04,Tennessee,"Culinary, Entertainment, and Personal Services",Cosmetology and Related Personal Grooming Services,"Cosmetology/Cosmetologist, General"
6,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",50,50.0402,50.04,Tennessee,Visual and Performing Arts,Design and Applied Arts,Commercial and Advertising Art
3,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",47,47.0303,47.03,Tennessee,Mechanic and Repair Technologies/Technicians,Heavy/Industrial Equipment Maintenance Technologies/Technicians,Industrial Mechanics and Maintenance Technology/Technician
10,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
3,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
13,Diploma,2019-20,Hohenwald,Main Campus,"Lewis County, TN",51,51.0909,51.09,Tennessee,Health Professions and Related Programs,"Allied Health Diagnostic, Intervention, and Treatment Professions",Surgical Technology/Technologist
